id_eleccion	ubigeo	partido_id	nombre_candidato	nombre_agrupacion_politica	votos_validos	pct_votos_validos	pct_votos_emitidos	total_votos_validos_geo	total_votos_emitidos_geo	fuente
10	010000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	125557	64.612	60.489	194325	207571	local_agregado
10	010000	8	FUERZA POPULAR	FUERZA POPULAR	69220	35.621	33.348	194325	207571	local_agregado
10	010000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	1825	0.939	0.879	194325	207571	local_agregado
10	010000	81	VOTOS NULOS	VOTOS NULOS	11446	5.89	5.514	194325	207571	local_agregado
10	010000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	1	0.001	0.0	194325	207571	local_agregado
10	020000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	353550	57.367	52.589	616296	672293	local_agregado
10	020000	8	FUERZA POPULAR	FUERZA POPULAR	270808	43.941	40.281	616296	672293	local_agregado
10	020000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	6386	1.036	0.95	616296	672293	local_agregado
10	020000	81	VOTOS NULOS	VOTOS NULOS	50566	8.205	7.521	616296	672293	local_agregado
10	020000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	23	0.004	0.003	616296	672293	local_agregado
10	030000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	187283	81.798	77.014	228957	243179	local_agregado
10	030000	8	FUERZA POPULAR	FUERZA POPULAR	43416	18.963	17.854	228957	243179	local_agregado
10	030000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	1938	0.846	0.797	228957	243179	local_agregado
10	030000	81	VOTOS NULOS	VOTOS NULOS	12421	5.425	5.108	228957	243179	local_agregado
10	030000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	5	0.002	0.002	228957	243179	local_agregado
10	040000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	583731	63.945	59.989	912859	973071	local_agregado
10	040000	8	FUERZA POPULAR	FUERZA POPULAR	334260	36.617	34.351	912859	973071	local_agregado
10	040000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	3787	0.415	0.389	912859	973071	local_agregado
10	040000	81	VOTOS NULOS	VOTOS NULOS	56668	6.208	5.824	912859	973071	local_agregado
10	040000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	96	0.011	0.01	912859	973071	local_agregado
10	050000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	258180	79.88	75.635	323211	341349	local_agregado
10	050000	8	FUERZA POPULAR	FUERZA POPULAR	67498	20.884	19.774	323211	341349	local_agregado
10	050000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	2363	0.731	0.692	323211	341349	local_agregado
10	050000	81	VOTOS NULOS	VOTOS NULOS	15926	4.927	4.666	323211	341349	local_agregado
10	050000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	10	0.003	0.003	323211	341349	local_agregado
10	060000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	494074	67.184	62.306	735400	792983	local_agregado
10	060000	8	FUERZA POPULAR	FUERZA POPULAR	246037	33.456	31.027	735400	792983	local_agregado
10	060000	80	VOTOS EN BLANCO	VOTOS EN BLANCO	7861	1.069	0.991	735400	792983	local_agregado
10	060000	81	VOTOS NULOS	VOTOS NULOS	50448	6.86	6.362	735400	792983	local_agregado
10	060000	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	189	0.026	0.024	735400	792983	local_agregado
10	070000	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	596625	79.177	74.119	753531	804952	local_agregado
10	070000	8	FUERZA POPULAR	FUERZA POPULAR	167214	22.191	20.773	753531	804952	local_agregado
